id,a2z,name
928,c,Corneal Abrasion
929,c,Corneal Dystrophy
930,c,"Corneal Erosion, Recurrent"
931,c,Corneal Foreign Body
932,c,Cornelia de Lange Syndrome
933,c,Corns
934,c,Coronary Artery Disease
935,c,Coronary Heart Disease
936,c,Corpus Callosum Agenesis
937,c,Cortical dysplasia
938,c,Corticobasal degeneration
939,c,Costello Syndrome
940,c,Costochondritis
941,c,Costosternal Chondrodynia
942,c,Costosternal Syndrome
943,c,Cot Death
944,c,Cote Adamopoulos Pantelakis syndrome
945,c,Couvade Syndrome
946,c,Cowden's disease
947,c,Cowpox
948,c,Coxsackievirus Infection
949,c,Cranial Arteritis
950,c,Craniodiaphyseal dysplasia
951,c,Craniofacial dysostosis
952,c,Craniofrontonasal Dysplasia
953,c,Craniostenosis
954,c,Craniosynostosis
955,c,CREST syndrome (Calcinosis Raynaud's Esophagus Sclerodactyly Telangiectasia)
956,c,Cretinism
957,c,Creutzfeldt-Jakob disease
958,c,Cri du chat
959,c,Crib Death
960,c,Crigler Najjar Syndrome
961,c,Crimean-Congo Haemorrhagic Fever
962,c,Crohn's Disease
963,c,Cronkhite-Canada disease
964,c,Croup
965,c,Crouzon Syndrome
966,c,Crouzonodermoskeletal syndrome
967,c,Crow-Fukase Syndrome
968,c,Cryoglobulinemia
969,c,Cryptococcosis
970,c,Cryptorchidism
971,c,Cryptosporidiosis
972,c,Cryptosporidium Infection
973,c,Cubital Tunnel Syndrome
974,c,Currarino's triad
975,c,Cushing's Syndrome
976,c,Cutaneous anthrax
977,c,Cutaneous Horn
978,c,Cutaneous larva migrans
979,c,Cutaneous lupus erythematosus
980,c,Cutaneous T-cell lymphoma
981,c,Cutis laxa
982,c,Cutis marmorata telangiectatica congenita
983,c,Cutis Rhomboidalis Nuchae
984,c,Cutis verticis gyrata
985,c,Cyclic neutropenia
986,c,Cyclic vomiting syndrome
987,c,Cyclospora Infection
988,c,Cyclothymia
989,c,Cyclothymic Disorder
990,c,Cystathionine Beta Synthase Deficiency
991,c,Cystic Fibrosis
992,c,Cystic hygroma
993,c,Cystinosis
994,c,Cystinuria
995,c,Cystitis
996,c,"Cystitis, Interstitial"
997,c,Cystocele
998,c,Cytomegalic Inclusion Disease
999,c,Cytomegalovirus
1000,c,Cytomegalovirus Cysts
1001,d,Dandruff
1002,d,Dandy Fever
1003,d,Dandy-Walker Syndrome
1004,d,Darier's Disease
1005,d,Daytime Sleepiness
1006,d,De Lange Syndrome
1007,d,De Quervain's Tenosynovitis
1008,d,De Sanctis-Cacchione Syndrome
1009,d,Deafblindness
1010,d,Decubitus Ulcer
1011,d,Deep Skin Infection
1012,d,Deep Vein Thrombosis
1013,d,Deerfly Fever
1014,d,Degenerative Joint Disease
1015,d,Degenerative Nerve Disease
1016,d,Degos Disease
1017,d,Dejerine-Sottas Disease
1018,d,Delayed Gastric Emptying
1019,d,Delirium
1020,d,Dementia Senilis
1021,d,Demodicidosis
1022,d,Demyelinating Disease
1023,d,Dengue Fever
1024,d,Dengue Hemorrhagic Fever
1025,d,Dent's Disease
1026,d,Dental Fluorosis
1027,d,Dental Plaque
1028,d,Dentinogenesis imperfecta
1029,d,Depersonalization Disorder
1030,d,Depression In Children
1031,d,Depression In Older People
1032,d,Dercum's Disease aka Adiposis dolorosa
1033,d,Dermatitis herpetiformis
1034,d,Dermatitis Statis
1035,d,"Dermatitis, Nipple"
1036,d,"Dermatitis, Nummular"
1037,d,"Dermatitis, Perioral"
1038,d,Dermatofibroma
1039,d,Dermatographia
1040,d,Dermatographic urticaria
1041,d,Dermatomyositis
1042,d,Dermatopathia pigmentosa reticularis
1043,d,Dermatophytids
1044,d,Dermatophytosis
1045,d,Dermatophytosis
1046,d,DES Syndrome
1047,d,Desmoid tumor
1048,d,Desmoplastic small round cell tumor
1049,d,Developmental Delay
1050,d,Devic syndrome
1051,d,Dextrocardia
1052,d,Dextrocardia with Situs Inversus
1053,d,Diabetes insipidus
1054,d,Diabetes mellitus
1055,d,"Diabetes, insulin dependent"
1056,d,Diabetic angiopathy
1057,d,Diabetic Coma
1058,d,Diabetic Dermopathy
1059,d,Diabetic Hyperosmolar Syndrome
1060,d,Diabetic Ketoacidosis
1061,d,Diabetic nephropathy
1062,d,Diabetic neuropathies
1063,d,Diabetic Retinopathy
1064,d,Diamond blackfan disease
1065,d,Diaper Rash
1066,d,"Diaphragmatic hernia, congenita"
1067,d,Diarrhoea
1068,d,Diastrophic dysplasia
1069,d,Dibasic aminoaciduria type 2
1070,d,Diffuse Astrocytomas
1071,d,Diffuse Idiopathic Skeletal Hyperostosis
1072,d,Diffuse parenchymal lung disease (DPLD)
1073,d,DiGeorge Sequence
1074,d,DiGeorge Syndrome
1075,d,Dihydropyrimidine dehydrogenase deficiency
1076,d,Dilated cardiomyopathy
1077,d,Dimitiri Disease
1078,d,Diphallia
1079,d,Diptheria
1080,d,Discitis
1081,d,Discoid Lupus Erythematosus
1082,d,Disintegrative Psychosis
1083,d,Dislocated Shoulder
1084,d,Dislocation
1085,d,Disorganized Schizophrenia
1086,d,Dissecting Aneurysm
1087,d,Dissociative Amnesia
1088,d,Distal myopathy
1089,d,Diverticulitis
1090,d,Diverticulitis
1091,d,Dizziness
1092,d,Dizziness in children
1093,d,Dominant Ichthyosis vulgaris
1094,d,Double outlet right ventricle
1095,d,Double Uterus
1096,d,"Douche, Vaginal"
1097,d,Downs syndrome
1098,d,Doxorubicin-induced cardiomyopathy
1099,d,Dracunculiasis
1100,d,Dressler's Syndrome
1101,d,Dropsy
1102,d,Drug Eruption
1103,d,Drug Induced Liver Disease
1104,d,Dry Mouth
1105,d,Dry Skin
1106,d,Dry Socket
1107,d,Duane syndrome
1108,d,Dubin-Johnson syndrome
1109,d,Dubowitz syndrome
1110,d,Duchenne muscular dystrophy
1111,d,Ductal Carcinoma in Situ
1112,d,Dumping Syndrome
1113,d,Duodenal Atresia
1114,d,Dupuytren's contracture
1115,d,Dust Mite Allergy
1116,d,Dwarfism
1117,d,Dysautonomia
1118,d,Dysbarism
1119,d,Dysencephalia splachnocyxtica
1120,d,"Dysfibrinogenemia, familial"
1121,d,Dysgerminoma
1122,d,Dysgraphia
1123,d,Dyshidrosis
1124,d,Dyskeratosis congenita
1125,d,Dyskinesia
1126,d,"Dyskinesia, drug induced"
1127,d,Dyslexia
1128,d,Dyslexia Dysgraphia Dyscalculia
1129,d,Dyslexia In Children
1130,d,Dyslexia In Children
1131,d,Dysmenorrhea
1132,d,Dysmetabolic Syndrome
1133,d,Dysmorphophobia
1134,d,Dysmotility
1135,d,Dysostosis
1136,d,Dysparenia
1137,d,Dyspepsia
1138,d,Dyspepsia Nonulcer
1139,d,Dysphagia
1140,d,Dysphasia
1141,d,Dysplastic Nevi
1142,d,dysplastic nevus syndrome
1143,d,Dyspraxia
1144,d,Dysrhythmias
1145,d,Dysthymia
1146,d,Dysthymic Disorder
1147,d,Dystonia
1148,d,"Dystonia, Cervical"
1149,d,Dystrophia myotonica
1150,e,Eagle Barrett Syndrome
1151,e,Eale's disease
1152,e,"Ear Infection, Middle Ear"
1153,e,"Eardrum, Ruptured"
1154,e,Early Menopause
1155,e,Early Puberty
1156,e,Earwax Blockage
1157,e,Eating Emotional
1158,e,Ebola hemorrhagic fever
1159,e,Ebstein's anomaly
1160,e,Echolalia
1161,e,Eclampsia
1162,e,Ectodermal dysplasia
1163,e,Ectopia cordis
1164,e,Ectopic Heartbeat
1165,e,ectopic pregnancy
1166,e,Ectrodactyly
1167,e,Eczema
1168,e,Eczema Dyshidrotic
1169,e,ED (Erectile Dysfunction)
1170,e,Edema
1171,e,Edwards' syndrome
1172,e,Egg Allergy
1173,e,Egg Hypersensitivity
1174,e,Ehlers-Danlos Syndrome
1175,e,Ehrlichiosis
1176,e,Eight Day Measles
1177,e,Eisenmenger's syndrome
1178,e,Elective mutism
1179,e,Elephantiasis
1180,e,Ellis-van Creveld syndrome
1181,e,Emery-Dreifuss muscular dystrophy
1182,e,emetophobia
1183,e,emphysema
1184,e,empty sella syndrome
1185,e,Empyema
1186,e,encephalitis
1187,e,encephalitis lethargica
1188,e,encephalocele
1189,e,Encephalocele Anencephaly
1190,e,encephalomyelitis
1191,e,"Encephalomyelitis, Myalgic"
1192,e,Encephalopfacial Angiomatosis
1193,e,Encopresis
1194,e,End Stage Renal Disease
1195,e,Endocardial Cushion Defect
1196,e,Endocardial fibroelastosis
1197,e,endocarditis
1198,e,"Endocarditis, infective"
1199,e,Endocrinopathy
1200,e,Endometrial Cancer
1201,e,Endometrial Cancer
1202,e,Endometrial Polyps
1203,e,Endometriosis
1204,e,Endomyocardial fibrosis
1205,e,Enetophobia
1206,e,Eneuresis
1207,e,Enlarged Heart
1208,e,Enlarged Liver
1209,e,Enlarged Prostate
1210,e,Enlarged Spleen
1211,e,Enlarged Thyroid
1212,e,Enteric Fever
1213,e,Enterocele
1214,e,Enterocolitis
1215,e,Entropion
1216,e,Entropion
1217,e,Enuresis
1218,e,Eosinophilia
1219,e,Eosinophilia - myalgia syndrome
1220,e,Eosinophilic Esophagitis
1221,e,Eosinophilic fasciitis
1222,e,Eosinophilic gastroenteritis
1223,e,Eosinophilic granuloma
1224,e,Ependymoblastoma
1225,e,Ependymoma
1226,e,Epicondylitis
1227,e,Epidermodysplasia verruciformis
1228,e,Epidermoid carcinoma
1229,e,Epidermoid Cysts
1230,e,Epidermolysis bullosa
1231,e,Epidermolytic hyperkeratosis
1232,e,Epididymitis
1233,e,Epidural Hematoma
1234,e,Epiglottitis
1235,e,Epilepsy
1236,e,Epilepsy In Children
1237,e,Epilepsy juvenile absence
1238,e,Episcleritis
1239,e,Episcleritis
1240,e,Epispadias
1241,e,Epstein barr virus mononucleosis
1242,e,Equinophobia
1243,e,Erb-Duchenne palsy
1244,e,Erdheim-Chester syndrome
1245,e,Ergophobia
1246,e,Erysipelas
1247,e,Erysipeloid
1248,e,Erythema
1249,e,Erythema Infectiosum
1250,e,Erythema Multiforme
1251,e,Erythema Nodosum
1252,e,Erythrasma
1253,e,Erythroderma
1254,e,Erythromelalgia
1255,e,"Erythromelalgia,"
1256,e,Erythroplakia
1257,e,Erythropoietic protoporphyria
1258,e,Erythropoietic Protoporphyria
1259,e,Escherichia Coli Infection
1260,e,Esophageal atresia
1261,e,Esophageal Cancer
1262,e,Esophageal disorders
1263,e,Esophageal Diverticulum
1264,e,Esophageal neoplasm
1265,e,Esophageal Ring
1266,e,Esophageal Spasms
1267,e,Esophageal Stricture
1268,e,Esophageal Ulcer
1269,e,Esophageal varices
1270,e,Esophagitis
1271,e,Esotropia
1272,e,essential hypertension
1273,e,Essential Mixed Cryoglobulinemia
1274,e,essential thrombocytopenia
1275,e,essential thrombocytosis
1276,e,Essential Tremor
1277,e,Ethylmalonic aciduria
1278,e,Evans' Syndrome
1279,e,Ewing's sarcoma
1280,e,Excessive Sweating
1281,e,Exhibitionism
1282,e,Exogenous lipoid pneumonia
1283,e,Exophthalmos
1284,e,"Exostoses, multiple"
1285,e,exostosis
1286,e,Exploding head syndrome
1287,e,Extensively Drug Resistant Tuberculosis
1288,e,External Compression Headaches
1289,e,External Otitis
1290,e,Extra Nipples
1291,e,Extradural Hematoma
1292,e,Extrapontine Myelinolysis
1293,e,Extrophy of the Bladder
1294,e,Eye Cancers
1295,e,Eye Floaters
1296,e,Eye Melanoma
1297,e,Eye Melanoma Cancer
1298,e,Eye Neuropathy
1299,e,Eyelid Cysts
1300,e,Eyelid Inflammation
1301,f,Fabry disease
1302,f,Facet Degeneration
1303,f,Facial Palsy
1304,f,Facial paralysis
1305,f,Faciocutaneoskeletal Syndrome
1306,f,Facioscapulohumeral muscular dystrophy
1307,f,Factitious Disorder
1308,f,Factor II deficiency
1309,f,Factor V Deficiency
1310,f,Factor V Leiden Mutation
1311,f,Factor VII Deficiency
1312,f,Factor VIII Deficiency
1313,f,"Factor X Deficiency, Congenital"
1314,f,"Factor XI Deficiency, Congenital"
1315,f,"Factor XIII Deficiency, Congenital"
1316,f,Fahr's Disease
1317,f,Fainting
1318,f,Fallen Arches
1319,f,Fallen Bladder
1320,f,Fallot Tetralogy
1321,f,Familial Adenomatous Polyposis
1322,f,Familial amyloid polyneuropathy
1323,f,Familial Emphysema
1324,f,Familial Mediterranean fever
1325,f,Familial paroxysmal peritonitis
1326,f,familial periodic paralysis
1327,f,familial polyposis
1328,f,Fan death
1329,f,Fanconi syndrome
1330,f,"Fanconi syndrome, renal, with nephrocalcinosis and renal stones"
1331,f,Fanconi's anemia
1332,f,Farber's disease
1333,f,farmer's lung
1334,f,Farsightedness
1335,f,Fasciculations
1336,f,Fascioliasis
1337,f,Fatal Familial Insomnia
1338,f,Fatigue From Cancer Fatigue
1339,f,Fatty Liver
1340,f,Favism
1341,f,Fazio Londe Syndrome
1342,f,Febrile Convulsions
1343,f,Febrile seizure
1344,f,Fecal Impaction
1345,f,Fecal Incontinence
1346,f,Fecal Incontinence
1347,f,Feer Disease
1348,f,Feingold Syndrome
1349,f,Feline Spongiform Encephalopathy
1350,f,Felty's Syndrome
1351,f,Female Carrier ALD
1352,f,Female Infertility
1353,f,Female Pseudo Turner Syndrome
1354,f,Female Pseudohermaphroditism
1355,f,Female Sexual Dysfunction
1356,f,Feminisation
1357,f,Fetal alcohol Syndrome
1358,f,Fetal Diethylstilbestrol Syndrome
1359,f,Fetal Face Syndrome
1360,f,Fetal Hydantoin Syndrome
1361,f,Fetal Methyl Mercury Syndrome
1362,f,Fetal thalidomide syndrome
1363,f,Fetal warfarin syndrome
1364,f,Fetishism
1365,f,Fever
1366,f,Fever Blister
1367,f,Fg Syndrome
1368,f,Fibrocystic Breast Disease
1369,f,Fibrodysplasia ossificans progressiva
1370,f,Fibroma
1371,f,Fibromatosis
1372,f,Fibromuscular dysplasia
1373,f,Fibromyalgia
1374,f,Fibromyomas
1375,f,Fibrosarcoma
1376,f,Fibrosis
1377,f,Fibrous dysplasia
1378,f,Fifth Disease
1379,f,Filariasis
1380,f,Filovirus
1381,f,Finger Fracture
1382,f,Fish Tank Granuloma
1383,f,Fissured tongue
1384,f,Fistula
1385,f,Fistula
1386,f,Fitz-Hugh-Curtis syndrome
1387,f,Fitzsimmons-Guilbert syndrome
1388,f,Flaky Scalp
1389,f,Flatfeet
1390,f,Flatulence
1391,f,Flavimonas oryzihabitans
1392,f,Flea Bites
1393,f,Flesh eating bacteria
1394,f,Floating Harbor Syndrome
1395,f,Floppy Valve Syndrome
1396,f,Flourosis
1397,f,Flu
1398,f,Flynn-Aird syndrome
1399,f,focal dystonia
1400,f,Focal Seizures
1401,f,Foix-Alajouanine syndrome
1402,f,Foix-Chavany-Marie syndrome
1403,f,Folate Deficiency
1404,f,Folate Deficiency Anemia
1405,f,Follicular lymphoma
1406,f,Folliculitis
1407,f,Folling Disease
1408,f,Food Allergy
1409,f,Food Intolerance
1410,f,Food Poisoning
1411,f,Foodborne Illness
1412,f,Foot Drop
1413,f,Foot Ulcer
1414,f,Forbes disease
1415,f,Fordyce Spots
1416,f,Forestier's Disease
1417,f,Formaldehyde poisoning
1418,f,Fountain syndrome
1419,f,Fox-Fordyce disease
1420,f,"Fracture, Greenstick"
1421,f,"Fracture, Growth Plate"
1422,f,"Fracture, Stress"
1423,f,Fractured Femur
1424,f,Fragile X syndrome
1425,f,Frambesia
1426,f,Francois Dyscephalic Syndrome
1427,f,Fraser syndrome
1428,f,FRAXA syndrome
1429,f,Freeman-Sheldon syndrome
1430,f,Frey's syndrome
1431,f,Friedreich's ataxia
1432,f,Frigidity
1433,f,Froelich's Syndrome
1434,f,Frontal Lobe Epilepsy
1435,f,Frontal Lobe Seizures
1436,f,Frontotemporal Dementia
1437,f,Frontotemporal Dementia
1438,f,Frontotemporal Lobar Degeneration
1439,f,Frostbite
1440,f,Frozen Shoulder
1441,f,Fructose Intolerance
1442,f,Fructosuria
1443,f,"Fugue, Dissociative"
1444,f,Fulminant Liver Failure
1445,f,Fumarylacetoacetase Deficiency Disease
1446,f,"Fungal Infection, Nail"
1447,f,Fungal Meningitis
1448,f,Funnel Chest
1449,g,G6pd Deficiency
1450,g,Galactocele
1451,g,Galactokinase deficiency
1452,g,Galactorrhea
1453,g,Galactose-1-phosphate uridyltransferase deficiency
1454,g,Galactosemia
1455,g,Gall Bladder Disease
1456,g,Gallbladder Cancer
1457,g,Galloway Mowat syndrome
1458,g,Gamstorp episodic adynamy
1459,g,Ganglioglioma
1460,g,Ganglion Cyst
1461,g,Gangrene
1462,g,Ganser Syndrome
1463,g,Gardner Syndrome
1464,g,Gas
1465,g,Gas In The Digestive Tract
1466,g,Gas Pains
1467,g,Gastric Cancer
1468,g,Gastric Dumping Syndrome
1469,g,"Gastric Emptying, Rapid"
1470,g,Gastric Erosion
1471,g,Gastric Lymphoma
1472,g,Gastritis
1473,g,Gastroenteritis
1474,g,"Gastroenteritis, Eosinophilic"
1475,g,Gastrointestinal Anthrax
1476,g,Gastrointestinal Basidiobolomycosis
1477,g,Gastrointestinal Bleeding
1478,g,Gastrointestinal Cancers
1479,g,Gastrointestinal Stromal Tumors
1480,g,Gastroparesis
1481,g,Gastroparesis
1482,g,gaucher disease type 1
1483,g,gaucher disease type 2
1484,g,gaucher disease type 3
1485,g,gaucher disease type 4
1486,g,Geleophysic Dwarfism
1487,g,gelineau disease
1488,g,Gender Identity Disorder
1489,g,Generalized Anxiety Disorder
1490,g,Genetic Disorders Inborn
1491,g,Genital Herpes
1492,g,Genital System Cancer
1493,g,Genital Warts
1494,g,Genu varum
1495,g,Genuphobia
1496,g,Geographical tongue
1497,g,GERD
1498,g,Gerhardt Disease
1499,g,German Measles
1500,g,German Measles (Rubella)
1501,g,German Syndrome
1502,g,Germinal Mosaicism
1503,g,Gerstmann Syndrome
1504,g,Gerstmann-Straussler-Scheinker Syndrome
1505,g,Gestational Diabetes Mellitus
1506,g,Gestational Pemphigoid
1507,g,Gestational Trophoblastic Disease
1508,g,Giant Axonal Neuropathy
1509,g,Giant Cell Arteritis
1510,g,Giant Lymph Node Hyperplasia
1511,g,Giant Papillary Conjunctivitis
1512,g,Giant Platelet Syndrome
1513,g,Giardia Infection
1514,g,GIARDIA LAMBLIA
1515,g,Giardiasis
1516,g,Gigantism
1517,g,Gilbert's Syndrome
1518,g,Gilles de la Tourette's Syndrome
1519,g,Gingivitis
1520,g,Gingivostomatitis
1521,g,Gitelman Syndrome
1522,g,Gittings Syndrome
1523,g,Glanders
1524,g,GLANDULAR FEVER
1525,g,Glanzmann's Thrombasthenia
1526,g,Glaucoma
1527,g,Glioblastoma
1528,g,Glioblastoma multiforme
1529,g,Glioma
1530,g,Gliomatosis cerebri
1531,g,Gliosarcoma
1532,g,Glomerular
1533,g,Glomerulonephritis
1534,g,Glomerulosclerosis
1535,g,Glossitis
1536,g,Glossodynia
1537,g,Glossophobia
1538,g,Glucagonoma
1539,g,Glucocerebrosidase Deficiency
1540,g,Glucose-6-phosphate dehydrogenase deficiency
1541,g,Glucose-galactose malabsorption
1542,g,Glue Ear
1543,g,Glutaryl-CoA dehydrogenase deficiency
1544,g,Gluten-Sensitive Enteropathy
1545,g,Glycogen storage disease
1546,g,Glycogen storage disease type 1B
1547,g,Glycogen storage disease type 7
1548,g,Glycogen storage disease type II
1549,g,Glycogen storage disease type V
1550,g,Glycogen storage disease type VI
1551,g,Glycogen storage disease type VII
1552,g,Glycosuria
1553,g,Goitre
1554,g,Goldenhar syndrome
1555,g,Golfer's Elbow
1556,g,Gonadal dysgenesis
1557,g,Gonadal Dysgenesis Mixed
1558,g,Gonadal Dysgenesis Turner Type
1559,g,"Gonadal Dysgenesis, XX Type"
1560,g,"Gonadal Dysgenesis, XY Female Type"
1561,g,Gonococcal Conjunctivitis
1562,g,Gonorrhea
1563,g,Goodpasture Pneumorenal Syndrome
1564,g,Goodpasture's syndrome
1565,g,Gorham's disease
1566,g,Gorlin Syndrome
1567,g,Gout
1568,g,Graft versus host disease
1569,g,Grand Mal Seizure
1570,g,Granulocytopenia
1571,g,Granuloma annulare
1572,g,Granuloma Inguinale
1573,g,"Granuloma, Pyogenic"
1574,g,Granulomatous Amebic Encephalitis
1575,g,Graves' disease
1576,g,Gray platelet syndrome
1577,g,Great vessels transposition
1578,g,Greenberg Dysplasia
1579,g,Grippe
1580,g,Griscelli Disease
1581,g,Gronblad Strandberg Syndrome
1582,g,Gross Hematuria
1583,g,Group B Streptococcus
1584,g,Grover's disease
1585,g,Growing Pains
1586,g,"Growth delay, constitutional"
1587,g,Growth hormone deficiency
1588,g,Growth Problems
1589,g,Guanidinoacetate Methyltransferase Deficiency
1590,g,Guerin Stern Syndrome
1591,g,Guillan-Barre syndrome
1592,g,Guinea Worm Disease
1593,g,Gulf War Syndrome
1594,g,Gum Cancer
1595,g,Gum Disease
1596,g,Gustatory Sweating
1597,g,Gymnophobia
1598,g,Gynecomastia
1599,h,H. Pylori Infection
1600,h,Haemophilus Influenzae Type B
1601,h,Haemophilus Influenzae Type B
1602,h,Hageman Factor Deficiency
1603,h,Hailey Hailey Disease
1604,h,Hair-Pulling Disease
1605,h,Hairy Cell Leukemia
1606,h,Hairy Leukoplakia
1607,h,Hairy Tongue
1608,h,Hajdu-Cheney Syndrome
1609,h,Halitosis
1610,h,Hallermann Streff Syndrome
1611,h,Hallervorden-Spatz Disease
1612,h,Hallucination
1613,h,Hallux Valgus
1614,h,Hamburger Disease
1615,h,Hammertoe
1616,h,Hand Foot Mouth Disease
1617,h,Hand Wringing Rett Syndrome
1618,h,Hand-Schuller-Christian Disease
1619,h,Hanhart Syndrome
1620,h,Hansen's Disease
1621,h,Hantavirosis
1622,h,Hantavirus Pulmonary Syndrome
1623,h,HARD Syndrome
1624,h,Harlequin Type Ichthyosis
1625,h,Harpaxophobia
1626,h,Hartnup Disease
1627,h,Hashimoto's thyroiditis
1628,h,Hay Fever
1629,h,Hay-Wells Syndrome
1630,h,Head And Neck Cancer
1631,h,Head Cancer
1632,h,Head Lice
1633,h,Headache Free Migraine
1634,h,"Headache, cluster"
1635,h,"Headache, Cluster"
1636,h,"Headache, Ice Cream"
1637,h,"Headache, Primary Cough"
1638,h,"Headache, Rebound"
1639,h,"Headache, Sex"
1640,h,"Headache, Sinus"
1641,h,"Headache, Spinal"
1642,h,"Headache, Tension"
1643,h,"Headache, Thunderclap"
1644,h,Headaches In Children
1645,h,Hearing disorders
1646,h,Hearing Impairment
1647,h,Hearing Loss
1648,h,Heart Arrhythmias
1649,h,Heart Attack
1650,h,Heart Babies
1651,h,Heart block
1652,h,Heart Failure
1653,h,Heart Murmur
1654,h,Heart situs Anomaly
1655,h,Heartburn
1656,h,HEAT CRAMPS
1657,h,Heat Exhaustion
1658,h,Heat Rash
1659,h,Heat Stroke
1660,h,Heavy Metal Poisoning
1661,h,Heel Spur
1662,h,Helicobacter Pylori
1663,h,Heliophobia
1664,h,Heller's Syndrome
1665,h,HELLP Syndrome
1666,h,Helminthiasis
1667,h,Hemachromatosis
1668,h,Hemangioblastoma
1669,h,Hemangioendothelioma
1670,h,Hemangioma
1671,h,Hemangioma Thrombocytopenia Syndrome
1672,h,Hematuria (Blood in Urine)
1673,h,Hemianopia
1674,h,Hemifacial Microsomia
1675,h,Hemifacial Spasm
1676,h,Hemihypertrophy
1677,h,Hemimegalencephaly
1678,h,Hemiplegia
1679,h,Hemiplegia Alterans
1680,h,Hemmorhagic Fever
1681,h,Hemochromatosis
1682,h,Hemoglobinopathy
1683,h,Hemoglobinuria
1684,h,Hemolytic Anemia
1685,h,Hemolytic Disease Of The Newborn
1686,h,Hemolytic Uremic Syndrome
1687,h,Hemolytic-Uremic Syndrome
1688,h,Hemophagocytic Lymphohistiocytosis
1689,h,Hemophilia
1690,h,Hemophilia A
1691,h,Hemophobia
1692,h,Hemorrhage
1693,h,Hemorrhagiparous Thrombocytic Dystrophy
1694,h,Hemorrhoids
1695,h,Hemothorax
1696,h,Hendra Virus
1697,h,Henoch-Schonlein Purpura
1698,h,Heparin-Induced Thrombocytopenia
1699,h,Hepatic Encephalopathy
1700,h,Hepatic Hemangioma
1701,h,Hepatic Veno-Occlusive Disease
1702,h,Hepatitis
1703,h,Hepatitis A
1704,h,Hepatitis B
1705,h,Hepatitis C
1706,h,Hepatitis D
1707,h,Hepatitis E
1708,h,Hepatitis non-A (alcoholic hepatitis)
1709,h,"Hepatitis non-A non-B (Hepatitis e,f,g)"
1710,h,Hepatitis non-B (drug-induced hepatitis)
1711,h,Hepatitis X
1712,h,"Hepatitis, chronic autoimmune"
1713,h,"Hepatitis, Toxic"
1714,h,Hepatoblastoma
1715,h,Hepatocellular carcinoma
1716,h,Hepatocerebral Degeneration
1717,h,Hepatolenticular Degeneration
1718,h,Hepatoma
1719,h,Hepatomegaly
1720,h,Hepatorenal syndrome
1721,h,Hereditary amyloidosis
1722,h,Hereditary angioedema
1723,h,Hereditary ataxia
1724,h,Hereditary ceroid lipofuscinosis
1725,h,Hereditary coproporphyria
1726,h,Hereditary deafness
1727,h,Hereditary Deafness Retinitis Pigmentosa
1728,h,Hereditary elliptocytosis
1729,h,Hereditary fructose intolerance
1730,h,Hereditary hemochromatosis
1731,h,Hereditary hemorrhagic telangiectasia
1732,h,Hereditary non-spherocytic hemolytic anemia
1733,h,Hereditary pancreatitis
1734,h,Hereditary Sensory Motor Neuropathy
1735,h,Hereditary spastic paraplegia
1736,h,Hereditary spherocytosis
1737,h,Heritable Disorders Of Connective Tissue
1738,h,Hermansky-Pudlak Syndrome
1739,h,Hermaphroditism
1740,h,Hernia
1741,h,Hernia In Children
1742,h,"Hernia, Inguinal"
1743,h,"Hernia, Umbilical"
1744,h,Herniated Disc
1745,h,Herpangina
1746,h,Herpes
1747,h,Herpes Gestationis
1748,h,Herpes of the Eye
1749,h,Herpes simplex disease
1750,h,Herpes simplex encephalitis
1751,h,"Herpes Simplex Virus, Genital"
1752,h,"Herpes Simplex Virus, Orofacial"
1753,h,"Herpes Simplex Virus, Sacral"
1754,h,Herpes viridae disease
1755,h,Herpes zoster
1756,h,Herpes zoster oticus
1757,h,Herpetic keratitis
1758,h,Herpetic Whitlow
1759,h,Heterophobia
1760,h,HHH syndrome
1761,h,Hiatal Hernia
1762,h,Hiccups
1763,h,Hidradenitis suppurativa
1764,h,High Altitude Cerebral Edema
1765,h,High Altitude Pulmonary Edema
1766,h,High Cholesterol
1767,h,Hip dysplasia
1768,h,Hip Labral Tear
1769,h,Hirschsprung's disease
1770,h,Hirsutism
1771,h,Histidinemia
1772,h,Histiocytosis X
1773,h,Histoplasmosis
1774,h,Histrionic Personality Disorder
1775,h,Hives
1776,h,Hoarding
1777,h,Hoarse Voice
1778,h,Hodgkin's disease
1779,h,Holocarboxylase synthetase deficiency
1780,h,Holoprosencephaly
1781,h,Holt-Oram syndrome
1782,h,Homocystinuria
1783,h,Hookworm
1784,h,Hordelum
1785,h,Horn Kolb syndrome
1786,h,Horner's syndrome
1787,h,Horseshoe kidney
1788,h,Hot Flashes
1789,h,Hot Tub Rash
1790,h,Howel-Evans syndrome
1791,h,HPV Infection
1792,h,HSV-2 infection
1793,h,Hughes Syndrome
1794,h,Human Adjuvant Disease
1795,h,Human granulocytic ehrlichiosis
1796,h,Human Head Lice
1797,h,Human Immunodeficiency Virus
1798,h,Human Papillomavirus Infection
1799,h,Human Parvovirus B19 infection
1800,h,Human T Cell lymphotropic Virus (HTLV)
1801,h,Hunchback
1802,h,Hunt's Syndrome
1803,h,Hunter syndrome
1804,h,Huntington's Chorea
1805,h,Huntington's disease
1806,h,Hurler syndrome
1807,h,Hurthle cell Cancer
1808,h,Hutchinson incisors
1809,h,Hutchinson-Gilford syndrome
1810,h,Hydatid Disease
1811,h,Hydatidiform mole
1812,h,Hydatidosis
1813,h,Hydranencephaly
